X,Y,Z
62,27,116
62,27,104
62,27,92
62,27,80
62,27,79
62,27,68
62,27,67
62,27,55
62,27,43
62,27,31
62,27,19
62,28,116
62,28,104
62,28,92
62,28,80
62,28,79
62,28,68
62,28,67
62,28,56
62,28,55
62,28,43
62,28,31
62,28,19
62,29,116
62,29,104
62,29,92
62,29,80
62,29,79
62,29,68
62,29,67
62,29,56
62,29,55
62,29,44
62,29,43
62,29,31
62,29,19
62,30,117
62,30,116
62,30,104
62,30,92
62,30,80
62,30,79
62,30,68
62,30,67
62,30,56
62,30,55
62,30,44
62,30,43
62,30,31
62,30,19
62,31,117
62,31,116
62,31,105
62,31,104
62,31,92
62,31,80
62,31,79
62,31,68
62,31,67
62,31,56
62,31,55
62,31,44
62,31,43
62,31,32
62,31,31
62,31,19
62,32,117
62,32,116
62,32,105
62,32,104
62,32,92
62,32,80
62,32,68
62,32,67
62,32,56
62,32,55
62,32,44
62,32,43
62,32,32
62,32,31
62,32,19
62,33,117
62,33,116
62,33,105
62,33,104
62,33,92
62,33,80
62,33,68
62,33,67
62,33,56
62,33,55
62,33,44
62,33,43
62,33,32
62,33,31
62,33,19
62,34,117
62,34,116
62,34,105
62,34,104
62,34,92
62,34,80
62,34,68
62,34,56
62,34,55
62,34,44
62,34,43
62,34,32
62,34,31
62,34,19
62,35,117
62,35,116
62,35,105
62,35,104
62,35,92
62,35,80
62,35,68
62,35,56
62,35,44
62,35,43
62,35,32
62,35,31
62,35,19
62,36,117
62,36,116
62,36,105
62,36,104
62,36,92
62,36,80
62,36,68
62,36,56
62,36,44
62,36,32
62,36,31
62,36,19
61,23,116
61,23,104
61,23,103
61,23,92
61,23,91
61,23,80
61,23,79
61,23,67
61,23,55
61,23,43
61,23,31
61,23,30
61,23,19
61,23,18
61,24,116
61,24,104
61,24,103
61,24,92
61,24,91
61,24,80
61,24,79
61,24,68
61,24,67
61,24,55
61,24,43
61,24,31
61,24,30
61,24,19
61,24,18
61,25,117
61,25,116
61,25,115
61,25,104
61,25,103
61,25,92
61,25,91
61,25,80
61,25,79
61,25,68
61,25,67
61,25,56
61,25,55
61,25,54
61,25,44
61,25,43
61,25,42
61,25,32
61,25,31
61,25,30
61,25,19
61,25,18
61,26,117
61,26,116
61,26,115
61,26,105
61,26,104
61,26,103
61,26,93
61,26,92
61,26,91
61,26,80
61,26,79
61,26,68
61,26,67
61,26,56
61,26,55
61,26,54
61,26,44
61,26,43
61,26,42
61,26,32
61,26,31
61,26,30
61,26,20
61,26,19
61,26,18
61,27,117
61,27,116
61,27,115
61,27,105
61,27,104
61,27,103
61,27,93
61,27,92
61,27,91
61,27,81
61,27,80
61,27,79
61,27,68
61,27,67
61,27,66
61,27,56
61,27,55
61,27,54
61,27,44
61,27,43
61,27,42
61,27,32
61,27,31
61,27,30
61,27,20
61,27,19
61,27,18
61,28,117
61,28,116
61,28,115
61,28,105
61,28,104
61,28,103
61,28,93
61,28,92
61,28,91
61,28,81
61,28,80
61,28,79
61,28,69
61,28,68
61,28,67
61,28,66
61,28,56
61,28,55
61,28,54
61,28,44
61,28,43
61,28,42
61,28,32
61,28,31
61,28,30
61,28,20
61,28,19
61,28,18
61,29,117
61,29,116
61,29,115
61,29,105
61,29,104
61,29,103
61,29,93
61,29,92
61,29,91
61,29,81
61,29,80
61,29,79
61,29,69
61,29,68
61,29,67
61,29,56
61,29,55
61,29,54
61,29,44
61,29,43
61,29,42
61,29,32
61,29,31
61,29,30
61,29,20
61,29,19
61,29,18
61,30,117
61,30,116
61,30,115
61,30,105
61,30,104
61,30,103
61,30,93
61,30,92
61,30,91
61,30,81
61,30,80
61,30,79
61,30,69
61,30,68
61,30,67
61,30,57
61,30,56
61,30,55
61,30,54
61,30,44
61,30,43
61,30,42
61,30,32
61,30,31
61,30,30
61,30,20
61,30,19
61,30,18
61,31,117
61,31,116
61,31,115
61,31,105
61,31,104
61,31,103
61,31,93
61,31,92
61,31,91
61,31,81
61,31,80
61,31,79
61,31,69
61,31,68
61,31,67
61,31,57
61,31,56
61,31,55
61,31,54
61,31,44
61,31,43
61,31,42
61,31,32
61,31,31
61,31,30
61,31,20
61,31,19
61,31,18
61,32,118
61,32,117
61,32,116
61,32,115
61,32,105
61,32,104
61,32,103
61,32,93
61,32,92
61,32,91
61,32,81
61,32,80
61,32,79
61,32,69
61,32,68
61,32,67
61,32,57
61,32,56
61,32,55
61,32,54
61,32,45
61,32,44
61,32,43
61,32,42
61,32,32
61,32,31
61,32,30
61,32,20
61,32,19
61,32,18
61,33,118
61,33,117
61,33,116
61,33,115
61,33,105
61,33,104
61,33,103
61,33,93
61,33,92
61,33,91
61,33,81
61,33,80
61,33,79
61,33,69
61,33,68
61,33,67
61,33,57
61,33,56
61,33,55
61,33,45
61,33,44
61,33,43
61,33,42
61,33,32
61,33,31
61,33,30
61,33,20
61,33,19
61,33,18
61,34,118
61,34,117
61,34,116
61,34,115
61,34,105
61,34,104
61,34,103
61,34,93
61,34,92
61,34,91
61,34,81
61,34,80
61,34,79
61,34,69
61,34,68
61,34,67
61,34,57
61,34,56
61,34,55
61,34,45
61,34,44
61,34,43
61,34,42
61,34,32
61,34,31
61,34,30
61,34,20
61,34,19
61,34,18
61,35,118
61,35,117
61,35,116
61,35,105
61,35,104
61,35,103
61,35,93
61,35,92
61,35,91
61,35,81
61,35,80
61,35,79
61,35,69
61,35,68
61,35,67
61,35,57
61,35,56
61,35,55
61,35,45
61,35,44
61,35,43
61,35,32
61,35,31
61,35,30
61,35,20
61,35,19
61,35,18
61,36,118
61,36,117
61,36,116
61,36,105
61,36,104
61,36,93
61,36,92
61,36,91
61,36,81
61,36,80
61,36,79
61,36,69
61,36,68
61,36,67
61,36,57
61,36,56
61,36,55
61,36,45
61,36,44
61,36,43
61,36,32
61,36,31
61,36,20
61,36,19
61,36,18
61,37,118
61,37,117
61,37,116
61,37,105
61,37,104
61,37,93
61,37,92
61,37,81
61,37,80
61,37,79
61,37,69
61,37,68
61,37,67
61,37,57
61,37,56
61,37,55
61,37,45
61,37,44
61,37,43
61,37,32
61,37,31
61,37,20
61,37,19
61,38,117
61,38,116
61,38,105
61,38,104
61,38,93
61,38,92
61,38,81
61,38,80
61,38,69
61,38,68
61,38,67
61,38,57
61,38,56
61,38,55
61,38,44
61,38,43
61,38,32
61,38,31
61,38,20
61,38,19
61,39,117
61,39,116
61,39,105
61,39,104
61,39,93
61,39,92
61,39,81
61,39,80
61,39,69
61,39,68
61,39,56
61,39,44
61,39,32
61,39,31
61,39,20
61,39,19
61,40,117
61,40,105
61,40,93
61,40,92
61,40,81
61,40,80
61,40,68
61,40,56
61,40,44
61,40,32
61,40,20
61,40,19
60,20,116
60,20,115
60,20,104
60,20,103
60,20,91
60,20,79
60,20,67
60,20,55
60,20,43
60,20,42
60,20,31
60,20,30
60,20,19
60,20,18
60,21,116
60,21,115
60,21,104
60,21,103
60,21,92
60,21,91
60,21,80
60,21,79
60,21,67
60,21,55
60,21,54
60,21,43
60,21,42
60,21,31
60,21,30
60,21,19
60,21,18
60,22,117
60,22,116
60,22,115
60,22,104
60,22,103
60,22,92
60,22,91
60,22,80
60,22,79
60,22,78
60,22,68
60,22,67
60,22,66
60,22,56
60,22,55
60,22,54
60,22,44
60,22,43
60,22,42
60,22,31
60,22,30
60,22,19
60,22,18
60,23,117
60,23,116
60,23,115
60,23,105
60,23,104
60,23,103
60,23,92
60,23,91
60,23,80
60,23,79
60,23,78
60,23,68
60,23,67
60,23,66
60,23,56
60,23,55
60,23,54
60,23,44
60,23,43
60,23,42
60,23,32
60,23,31
60,23,30
60,23,19
60,23,18
60,24,117
60,24,116
60,24,115
60,24,105
60,24,104
60,24,103
60,24,93
60,24,92
60,24,91
60,24,90
60,24,80
60,24,79
60,24,78
60,24,68
60,24,67
60,24,66
60,24,56
60,24,55
60,24,54
60,24,44
60,24,43
60,24,42
60,24,32
60,24,31
60,24,30
60,24,20
60,24,19
60,24,18
60,24,17
60,25,117
60,25,116
60,25,115
60,25,105
60,25,104
60,25,103
60,25,102
60,25,93
60,25,92
60,25,91
60,25,90
60,25,81
60,25,80
60,25,79
60,25,78
60,25,69
60,25,68
60,25,67
60,25,66
60,25,56
60,25,55
60,25,54
60,25,44
60,25,43
60,25,42
60,25,32
60,25,31
60,25,30
60,25,20
60,25,19
60,25,18
60,25,17
60,26,117
60,26,116
60,26,115
60,26,105
60,26,104
60,26,103
60,26,102
60,26,93
60,26,92
60,26,91
60,26,90
60,26,81
60,26,80
60,26,79
60,26,78
60,26,69
60,26,68
60,26,67
60,26,66
60,26,57
60,26,56
60,26,55
60,26,54
60,26,44
60,26,43
60,26,42
60,26,32
60,26,31
60,26,30
60,26,29
60,26,20
60,26,19
60,26,18
60,26,17
60,27,118
60,27,117
60,27,116
60,27,115
60,27,105
60,27,104
60,27,103
60,27,102
60,27,93
60,27,92
60,27,91
60,27,90
60,27,81
60,27,80
60,27,79
60,27,78
60,27,69
60,27,68
60,27,67
60,27,66
60,27,57
60,27,56
60,27,55
60,27,54
60,27,45
60,27,44
60,27,43
60,27,42
60,27,32
60,27,31
60,27,30
60,27,29
60,27,20
60,27,19
60,27,18
60,27,17
60,28,118
60,28,117
60,28,116
60,28,115
60,28,106
60,28,105
60,28,104
60,28,103
60,28,102
60,28,93
60,28,92
60,28,91
60,28,90
60,28,81
60,28,80
60,28,79
60,28,78
60,28,69
60,28,68
60,28,67
60,28,66
60,28,57
60,28,56
60,28,55
60,28,54
60,28,45
60,28,44
60,28,43
60,28,42
60,28,33
60,28,32
60,28,31
60,28,30
60,28,29
60,28,20
60,28,19
60,28,18
60,28,17
60,29,118
60,29,117
60,29,116
60,29,115
60,29,106
60,29,105
60,29,104
60,29,103
60,29,102
60,29,94
60,29,93
60,29,92
60,29,91
60,29,90
60,29,81
60,29,80
60,29,79
60,29,78
60,29,69
60,29,68
60,29,67
60,29,66
60,29,57
60,29,56
60,29,55
60,29,54
60,29,45
60,29,44
60,29,43
60,29,42
60,29,33
60,29,32
60,29,31
60,29,30
60,29,29
60,29,21
60,29,20
60,29,19
60,29,18
60,29,17
60,30,118
60,30,117
60,30,116
60,30,115
60,30,106
60,30,105
60,30,104
60,30,103
60,30,102
60,30,94
60,30,93
60,30,92
60,30,91
60,30,90
60,30,81
60,30,80
60,30,79
60,30,78
60,30,69
60,30,68
60,30,67
60,30,66
60,30,57
60,30,56
60,30,55
60,30,54
60,30,45
60,30,44
60,30,43
60,30,42
60,30,33
60,30,32
60,30,31
60,30,30
60,30,29
60,30,21
60,30,20
60,30,19
60,30,18
60,30,17
60,31,118
60,31,117
60,31,116
60,31,115
60,31,106
60,31,105
60,31,104
60,31,103
60,31,102
60,31,94
60,31,93
60,31,92
60,31,91
60,31,90
60,31,82
60,31,81
60,31,80
60,31,79
60,31,78
60,31,69
60,31,68
60,31,67
60,31,66
60,31,57
60,31,56
60,31,55
60,31,54
60,31,45
60,31,44
60,31,43
60,31,42
60,31,33
60,31,32
60,31,31
60,31,30
60,31,29
60,31,21
60,31,20
60,31,19
60,31,18
60,31,17
60,32,118
60,32,117
60,32,116
60,32,115
60,32,106
60,32,105
60,32,104
60,32,103
60,32,102
60,32,94
60,32,93
60,32,92
60,32,91
60,32,90
60,32,82
60,32,81
60,32,80
60,32,79
60,32,78
60,32,69
60,32,68
60,32,67
60,32,66
60,32,57
60,32,56
60,32,55
60,32,54
60,32,45
60,32,44
60,32,43
60,32,42
60,32,33
60,32,32
60,32,31
60,32,30
60,32,21
60,32,20
60,32,19
60,32,18
60,32,17
60,33,118
60,33,117
60,33,116
60,33,115
60,33,106
60,33,105
60,33,104
60,33,103
60,33,94
60,33,93
60,33,92
60,33,91
60,33,90
60,33,82
60,33,81
60,33,80
60,33,79
60,33,78
60,33,69
60,33,68
60,33,67
60,33,66
60,33,57
60,33,56
60,33,55
60,33,54
60,33,45
60,33,44
60,33,43
60,33,42
60,33,33
60,33,32
60,33,31
60,33,30
60,33,21
60,33,20
60,33,19
60,33,18
60,33,17
60,34,118
60,34,117
60,34,116
60,34,115
60,34,106
60,34,105
60,34,104
60,34,103
60,34,94
60,34,93
60,34,92
60,34,91
60,34,82
60,34,81
60,34,80
60,34,79
60,34,78
60,34,69
60,34,68
60,34,67
60,34,66
60,34,57
60,34,56
60,34,55
60,34,54
60,34,45
60,34,44
60,34,43
60,34,42
60,34,33
60,34,32
60,34,31
60,34,30
60,34,21
60,34,20
60,34,19
60,34,18
60,35,118
60,35,117
60,35,116
60,35,115
60,35,106
60,35,105
60,35,104
60,35,103
60,35,94
60,35,93
60,35,92
60,35,91
60,35,82
60,35,81
60,35,80
60,35,79
60,35,78
60,35,69
60,35,68
60,35,67
60,35,66
60,35,57
60,35,56
60,35,55
60,35,54
60,35,45
60,35,44
60,35,43
60,35,42
60,35,33
60,35,32
60,35,31
60,35,30
60,35,21
60,35,20
60,35,19
60,35,18
60,36,118
60,36,117
60,36,116
60,36,115
60,36,106
60,36,105
60,36,104
60,36,103
60,36,94
60,36,93
60,36,92
60,36,91
60,36,82
60,36,81
60,36,80
60,36,79
60,36,70
60,36,69
60,36,68
60,36,67
60,36,66
60,36,57
60,36,56
60,36,55
60,36,54
60,36,45
60,36,44
60,36,43
60,36,42
60,36,33
60,36,32
60,36,31
60,36,30
60,36,21
60,36,20
60,36,19
60,36,18
60,37,118
60,37,117
60,37,116
60,37,115
60,37,106
60,37,105
60,37,104
60,37,103
60,37,94
60,37,93
60,37,92
60,37,91
60,37,82
